src/parser/print_complete_command.c:23  bad indentation
src/parser/print_complete_command.c:25  bad indentation
src/parser/print_complete_command.c:25  must begin only by tabulations
src/parser/print_complete_command.c:28  Space before function name
src/parser/print_complete_command.c:35  bad indentation
src/parser/print_complete_command.c:35  must begin only by tabulations
src/parser/print_complete_command.c:36  line has 84 characters
src/parser/print_complete_command.c:36  must begin only by tabulations
src/parser/print_complete_command.c:36  bad indentation
src/parser/print_complete_command.c:37  must begin only by tabulations
src/parser/print_complete_command.c:37  bad indentation
src/parser/print_complete_command.c:38  must begin only by tabulations
src/parser/print_complete_command.c:38  bad indentation
src/parser/print_complete_command.c:42  Space before function name
src/parser/print_complete_command.c:50  must begin only by tabulations
src/parser/print_complete_command.c:50  bad indentation
src/parser/print_complete_command.c:51  bad indentation
src/parser/print_complete_command.c:51  must begin only by tabulations
src/parser/print_complete_command.c:52  bad indentation
src/parser/print_complete_command.c:52  must begin only by tabulations
src/main.c:28  global named env is not well prefixed
src/readline/add_symbol.c:47  line has 89 characters
src/parser/match_cmd_word.c:28  bad spacing after create_word_node_and_save_alias_info
src/parser/match_cmd_word.c:28  Space before function name
src/parser/print_simple_cmd.c:4  Space before function name
src/parser/print_simple_cmd.c:18  Space before function name
src/parser/print_simple_cmd.c:30  Space before function name
src/parser/print_simple_cmd.c:32  bad indentation
src/parser/print_simple_cmd.c:37  Space before function name
src/parser/print_simple_cmd.c:44  line has 92 characters
src/parser/print_simple_cmd.c:51  Space before function name
src/parser/print_simple_cmd.c:58  line has 92 characters
src/heredoc/heredoc_routine.c:10  function read_heredoc_value has 31 lines
src/heredoc/heredoc_routine.c:12  bad spacing
src/heredoc/heredoc_routine.c:13  bad spacing
src/heredoc/heredoc_routine.c:76  line has 88 characters
src/heredoc/heredoc_routine.c:85  missing space around =
src/heredoc/heredoc_routine.c:94  Space before function name
src/heredoc/heredoc_routine.c:94  bad spacing before print_list_doc
src/heredoc/heredoc_routine.c:94  bad spacing
src/heredoc/heredoc_routine.c:102  missing space around =
src/heredoc/heredoc_routine.c:107  Space before function name
src/heredoc/heredoc_routine.c:107  bad spacing
src/heredoc/heredoc_routine.c:130  Space before function name
src/heredoc/heredoc_routine.c:130  bad spacing
src/heredoc/heredoc_routine.c:135  Empty line
src/heredoc/heredoc_routine.c:152  C++ comment
src/heredoc/heredoc_routine.c:153  bad spacing before heredoc_action
src/heredoc/heredoc_routine.c:154  must begin only by tabulations
src/heredoc/heredoc_routine.c:164  C++ comment
src/heredoc/heredoc_routine.c:165  no empty line before block
src/readline/reset_exit.c:19  comment not well formatted
src/readline/reset_exit.c:19  comment not well placed
src/readline/reset_exit.c:19  bad indentation
src/readline/reset_exit.c:20  Empty line
src/readline/reset_exit.c:23  bad indentation
src/readline/reset_exit.c:23  comment not well placed
src/readline/reset_exit.c:23  comment not well formatted
src/readline/reset_exit.c:31  Empty line
src/readline/completion/com_api_move_cursor.c:64  Empty line
